date, pm25, pm10, o3, no2, so2, co
2019/5/25, 65, 30, , 21, , 3
2019/5/26, 59, 32, , 30, , 5
2019/5/27, 63, 25, , 28, , 6
2019/5/28, 66, 28, , 25, , 5
2019/5/29, 53, 29, , 26, , 4
2019/5/30, 47, 43, , 38, , 5
2019/5/31, 63, 34, , 23, , 5
2019/6/1, 60, 30, , 25, , 6
2019/6/2, 67, 21, , 17, , 3
2019/6/3, 42, 27, , 17, , 3
2019/6/4, 57, 28, , 15, , 3
2019/6/5, 60, 27, , 14, , 3
2019/6/6, 62, 31, , 25, , 5
2019/6/7, 60, 40, , 24, , 5
2019/6/8, 75, 20, , 15, , 3
2019/6/9, 38, 25, , 14, , 3
2019/6/10, 55, 33, , 19, , 4
2019/6/11, 69, 36, , 22, , 4
2019/6/12, 65, 41, , 25, , 5
2019/6/13, 69, 27, , 26, , 5
2019/6/14, 61, 31, , 11, , 4
2019/6/15, 69, 35, , 14, , 4
2019/6/16, 65, 26, , 25, , 5
2019/6/17, 50, , , 14, , 3
2019/6/21, 61, 16, , 10, , 2
2019/6/22, 40, 13, , 11, , 2
2019/6/23, 29, 22, , 14, , 3
2019/6/24, 40, 28, , 19, , 3
2019/6/25, 50, 40, , 38, , 6
2019/6/26, 65, 44, , 20, , 4
2019/6/27, 61, 30, , 22, , 4
2019/6/28, 45, 34, , 20, , 4
2019/6/29, 42, 31, , 23, , 4
2019/6/30, 49, 38, , 30, , 5
2019/1/1, 62, 8, , 16, , 7
2019/1/2, 32, 38, , 23, , 7
2019/1/3, 50, 33, , 24, , 8
2019/1/4, 81, 15, , 22, , 8
2019/1/5, 52, 21, , 15, , 7
2019/1/6, 52, 53, , 31, , 12
2019/1/7, 134, 52, , 25, , 10
2019/1/8, 138, 46, , 19, , 9
2019/1/9, 131, 48, , 19, , 9
2019/1/10, 138, 49, , 29, , 10
2019/1/11, 135, 29, , 22, , 8
2019/1/12, 83, 22, , 18, , 8
2019/1/13, 70, 11, , 17, , 8
2019/1/14, 39, 21, , 18, , 8
2019/1/15, 56, 23, , 28, , 10
2019/1/16, 68, 32, , 25, , 10
2019/1/17, 85, 24, , 23, , 6
2019/1/18, 59, 48, , 28, , 7
2019/1/19, 111, 64, , 27, , 9
2019/1/20, 150, 53, , 24, , 6
2019/1/21, 138, 53, , 25, , 6
2019/1/22, 132, 42, , 17, , 4
2019/1/23, 109, 27, , 14, , 3
2019/1/24, 75, 31, , 22, , 5
2019/1/25, 89, 61, , 25, , 7
2019/1/26, 157, 61, , 17, , 7
2019/1/27, 154, 46, , 26, , 7
2019/1/28, 125, 42, , 26, , 8
2019/1/29, 117, 44, , 21, , 7
2019/1/30, 125, 39, , 20, , 7
2019/1/31, 111, 41, , 20, , 6
2019/2/1, 123, 22, , 15, , 4
2019/2/2, 71, 49, , 19, , 7
2019/2/3, 138, 20, , 20, , 6
2019/2/4, 65, 39, , 24, , 6
2019/2/5, 100, 49, , 27, , 6
2019/2/6, 118, 50, , 27, , 6
2019/2/7, 113, 57, , 30, , 7
2019/2/8, 132, 49, , 22, , 6
2019/2/9, 124, 35, , 16, , 5
2019/2/10, 89, 27, , 19, , 5
2019/2/11, 75, 26, , 20, , 4
2019/2/12, 50, 26, , 19, , 4
2019/2/13, 80, 36, , 26, , 5
2019/2/14, 76, 56, , 23, , 6
2019/2/15, 135, 52, , 22, , 8
2019/2/16, 117, 54, , 20, , 5
2019/2/17, 110, 66, , 32, , 7
2019/2/18, 138, 70, , 27, , 7
2019/2/19, 140, 41, , 17, , 4
2019/2/20, 68, 30, , 23, , 6
2019/2/21, 85, 30, , 18, , 4
2019/2/22, 46, 50, , 21, , 5
2019/2/23, 74, 57, , 16, , 5
2019/2/24, 114, 63, , 21, , 6
2019/2/25, 136, 61, , 23, , 6
2019/2/26, 90, 49, , 22, , 5
2019/2/27, 84, 66, , 22, , 5
2019/2/28, 119, 58, , 26, , 6
2019/3/1, 94, 58, , 28, , 6
2019/3/2, 86, 48, , 17, , 6
2019/3/3, 120, 31, , 19, , 5
2019/3/4, 61, 30, , 13, , 4
2019/3/5, 54, 33, , 26, , 6
2019/3/6, 80, 45, , 29, , 7
2019/3/7, 87, 38, , 17, , 5
2019/3/8, 58, 22, , 19, , 5
2019/3/9, 59, 19, , 12, , 4
2019/3/10, 47, 28, , 18, , 5
2019/3/11, 60, 56, , 24, , 6
2019/3/12, 88, 55, , 29, , 7
2019/3/13, 100, 39, , 24, , 6
2019/3/14, 82, 19, , 23, , 6
2019/3/15, 64, 19, , 15, , 5
2019/3/16, 45, 32, , 25, , 7
2019/3/17, 68, 32, , 22, , 5
2019/3/18, 55, 43, , 20, , 6
2019/3/19, 79, 59, , 25, , 6
2019/3/20, 98, 56, , 22, , 6
2019/3/21, 95, 48, , 24, , 7
2019/3/22, 84, 52, , 29, , 7
2019/3/23, 97, 52, , 18, , 6
2019/3/24, 75, 56, , 32, , 7
2019/3/25, 93, 28, , 19, , 5
2019/3/26, 66, 36, , 22, , 6
2019/3/27, 59, 48, , 27, , 7
2019/3/28, 84, 47, , 22, , 6
2019/3/29, 89, 54, , 23, , 7
2019/3/30, 103, 57, , 22, , 7
2019/3/31, 111, 25, , 16, , 5
2018/10/1, 86, 41, , 24, , 5
2018/10/2, 78, 18, , 17, , 4
2018/10/3, 38, 30, , 28, , 6
2018/10/4, 63, 41, , 37, , 8
2018/10/5, 84, 39, , 29, , 6
2018/10/6, 91, 39, , 24, , 5
2018/10/7, 77, 35, , 32, , 6
2018/10/8, 63, 51, , 35, , 8
2018/10/9, 105, 55, , 42, , 10
2018/10/10, 129, 48, , 23, , 5
2018/10/11, 118, 48, , 30, , 5
2018/10/12, 109, 50, , 25, , 5
2018/10/13, 121, 44, , 16, , 4
2018/10/14, 107, 45, , 30, , 5
2018/10/15, 86, 56, , 40, , 8
2018/10/16, 118, 68, , 48, , 11
2018/10/17, 136, 74, , 59, , 14
